Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2486,5,2,7
Gen.2,2490,3,2,5
Gen.3,2488,7,1,4
Gen.4,2483,9,1,7
Gen.5,2486,4,1,9
Gen.6,2488,7,0,5
Gen.7,2484,9,0,7
Gen.8,2486,5,0,9
Gen.9,2488,7,0,5
Gen.10,2484,9,1,6
Gen.11,2477,13,3,7
Gen.12,2472,12,5,11
Gen.13,2464,19,6,11
Gen.14,2461,14,4,21
Gen.15,2471,11,1,17
Gen.16,2463,25,1,11
Gen.17,2457,17,1,25
Gen.18,2468,14,2,16
Gen.19,2457,27,3,13
Gen.20,2444,26,6,24
Gen.21,2448,20,10,22
Gen.22,2446,24,7,23
Gen.23,2442,27,5,26
Gen.24,2441,27,4,28
Gen.25,2434,35,5,26
Gen.26,2427,33,7,33
Gen.27,2429,31,6,34
Gen.28,2427,36,6,31
Gen.29,2421,37,7,35
Gen.30,2421,35,6,38
Gen.31,2417,42,4,37
Gen.32,2413,41,5,41
Gen.33,2415,39,8,38
Gen.34,2412,41,9,38
Gen.35,2407,43,9,41
Gen.36,2398,50,13,39
Gen.37,2396,41,9,54
Gen.38,2411,39,5,45
Gen.39,2395,61,8,36
Gen.40,2368,63,13,56
Gen.41,2381,43,14,62
Gen.42,2387,56,6,51
Gen.43,2371,67,12,50
Gen.44,2358,63,18,61
Gen.45,2354,65,18,63
Gen.46,2351,66,14,69
Gen.47,2351,69,10,70
Gen.48,2343,78,23,56
Gen.49,2317,82,25,76
Gen.50,2334,59,12,95
Gen.51,2353,76,7,64
Gen.52,2314,103,9,74
Gen.53,2311,77,17,95
Gen.54,2326,80,22,72
Gen.55,2302,96,18,84
Gen.56,2307,79,16,98
Gen.57,2321,84,13,82
Gen.58,2294,109,21,76
Gen.59,2280,90,32,98
Gen.60,2300,78,22,100
Gen.61,2295,105,12,88
Gen.62,2276,107,14,103
Gen.63,2278,101,21,100
Gen.64,2274,104,19,103
