Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2468,23,5,4
Gen.2,2428,44,16,12
Gen.3,2369,71,35,25
Gen.4,2286,108,63,43
Gen.5,2182,147,105,66
Gen.6,2074,174,152,100
Gen.7,1951,223,204,122
Gen.8,1776,297,256,171
Gen.9,1618,329,307,246
Gen.10,1470,394,349,287
Gen.11,1253,504,425,318
Gen.12,988,583,549,380
Gen.13,780,588,670,462
Gen.14,665,577,742,516
Gen.15,597,584,696,623
Gen.16,648,572,657,623
Gen.17,628,643,694,535
Gen.18,535,628,752,585
Gen.19,585,535,750,630
Gen.20,630,585,676,609
Gen.21,609,630,683,578
Gen.22,578,609,744,569
Gen.23,569,578,740,613
Gen.24,613,569,716,602
Gen.25,602,613,719,566
Gen.26,566,602,728,604
Gen.27,604,566,722,608
Gen.28,608,604,698,590
Gen.29,590,608,705,597
Gen.30,597,590,721,592
Gen.31,592,597,718,593
Gen.32,593,592,714,601
Gen.33,601,593,693,613
Gen.34,613,601,695,591
Gen.35,591,613,709,587
Gen.36,587,591,712,610
Gen.37,610,587,699,604
Gen.38,604,610,684,602
Gen.39,602,604,703,591
Gen.40,591,602,712,595
Gen.41,595,591,726,588
Gen.42,588,595,711,606
Gen.43,606,588,692,614
Gen.44,614,606,698,582
Gen.45,582,614,735,569
Gen.46,569,582,776,573
Gen.47,573,569,732,626
Gen.48,626,573,701,600
Gen.49,600,626,712,562
Gen.50,562,600,752,586
Gen.51,586,562,760,592
Gen.52,592,586,692,630
Gen.53,630,592,691,587
Gen.54,587,630,734,549
Gen.55,549,587,745,619
Gen.56,619,549,726,606
Gen.57,606,619,679,596
Gen.58,596,606,707,591
Gen.59,591,596,737,576
Gen.60,576,591,725,608
Gen.61,608,576,725,591
Gen.62,591,608,729,572
Gen.63,572,591,727,610
Gen.64,610,572,722,596
