Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2479,12,5,4
Gen.2,2468,15,8,9
Gen.3,2453,24,10,13
Gen.4,2444,22,12,22
Gen.5,2432,34,19,15
Gen.6,2407,40,23,30
Gen.7,2388,49,30,33
Gen.8,2354,67,38,41
Gen.9,2317,78,46,59
Gen.10,2288,88,60,64
Gen.11,2246,106,62,86
Gen.12,2221,111,75,93
Gen.13,2169,145,96,90
Gen.14,2086,173,117,124
Gen.15,2042,168,141,149
Gen.16,1995,196,140,169
Gen.17,1937,227,154,182
Gen.18,1878,241,182,199
Gen.19,1812,265,201,222
Gen.20,1764,270,209,257
Gen.21,1721,300,204,275
Gen.22,1669,327,215,289
Gen.23,1596,362,236,306
Gen.24,1527,375,264,334
Gen.25,1462,399,302,337
Gen.26,1361,438,319,382
Gen.27,1292,451,337,420
Gen.28,1218,494,348,440
Gen.29,1130,528,380,462
Gen.30,1038,554,426,482
Gen.31,962,558,438,542
Gen.32,920,584,461,535
Gen.33,825,630,466,579
Gen.34,817,587,459,637
Gen.35,839,615,464,582
Gen.36,738,683,497,582
Gen.37,688,632,546,634
Gen.38,705,617,555,623
Gen.39,662,666,531,641
Gen.40,659,644,515,682
Gen.41,686,655,516,643
Gen.42,643,686,516,655
Gen.43,655,643,532,670
Gen.44,670,655,542,633
Gen.45,633,670,530,667
Gen.46,667,633,538,662
Gen.47,662,667,536,635
Gen.48,635,662,550,653
Gen.49,653,635,551,661
Gen.50,661,653,504,682
Gen.51,682,661,505,652
Gen.52,652,682,532,634
Gen.53,634,652,544,670
Gen.54,670,634,546,650
Gen.55,650,670,510,670
Gen.56,670,650,515,665
Gen.57,665,670,517,648
Gen.58,648,665,510,677
Gen.59,677,648,533,642
Gen.60,642,677,511,670
Gen.61,670,642,534,654
Gen.62,654,670,543,633
Gen.63,633,654,536,677
Gen.64,677,633,548,642
