Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2478,13,3,6
Gen.2,2469,15,5,11
Gen.3,2459,21,6,14
Gen.4,2429,44,11,16
Gen.5,2387,58,18,37
Gen.6,2366,58,22,54
Gen.7,2353,67,21,59
Gen.8,2337,75,19,69
Gen.9,2310,96,27,67
Gen.10,2274,103,34,89
Gen.11,2265,98,37,100
Gen.12,2223,142,42,93
Gen.13,2132,184,56,128
Gen.14,2097,163,72,168
Gen.15,2090,175,67,168
Gen.16,2031,227,70,172
Gen.17,1977,226,84,213
Gen.18,1928,262,91,219
Gen.19,1849,298,103,250
Gen.20,1786,313,116,285
Gen.21,1766,305,112,317
Gen.22,1735,348,108,309
Gen.23,1636,408,132,324
Gen.24,1551,409,155,385
Gen.25,1533,403,169,395
Gen.26,1458,470,161,411
Gen.27,1397,472,167,464
Gen.28,1356,505,186,453
Gen.29,1252,557,200,491
Gen.30,1193,550,220,537
Gen.31,1171,559,198,572
Gen.32,1135,608,192,565
Gen.33,1046,654,238,562
Gen.34,945,663,278,614
Gen.35,907,652,300,641
Gen.36,866,682,290,662
Gen.37,839,689,270,702
Gen.38,833,708,281,678
Gen.39,774,737,299,690
Gen.40,760,704,292,744
Gen.41,788,716,290,706
Gen.42,740,754,292,714
Gen.43,734,720,299,747
Gen.44,762,719,310,709
Gen.45,715,756,321,708
Gen.46,712,711,313,764
Gen.47,767,709,277,747
Gen.48,748,766,279,707
Gen.49,708,747,298,747
Gen.50,748,707,281,764
Gen.51,765,747,286,702
Gen.52,702,765,289,744
Gen.53,744,702,299,755
Gen.54,755,744,281,720
Gen.55,720,755,264,761
Gen.56,761,720,311,708
Gen.57,708,761,311,720
Gen.58,720,708,291,781
Gen.59,781,720,267,732
Gen.60,732,781,258,729
Gen.61,729,732,262,777
Gen.62,777,729,280,714
Gen.63,714,777,315,694
Gen.64,694,714,304,788
