Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2469,22,5,4
Gen.2,2426,47,18,9
Gen.3,2362,73,36,29
Gen.4,2306,85,55,54
Gen.5,2237,123,77,63
Gen.6,2119,181,97,103
Gen.7,2011,211,138,140
Gen.8,1880,271,182,167
Gen.9,1714,333,243,210
Gen.10,1551,373,318,258
Gen.11,1378,431,375,316
Gen.12,1179,515,448,358
Gen.13,948,589,514,449
Gen.14,802,595,581,522
Gen.15,719,605,615,561
Gen.16,661,619,622,598
Gen.17,634,625,642,599
Gen.18,603,630,628,639
Gen.19,639,603,607,651
Gen.20,651,639,601,609
Gen.21,609,651,613,627
Gen.22,627,609,653,611
Gen.23,611,627,646,616
Gen.24,616,611,622,651
Gen.25,651,616,611,622
Gen.26,622,651,608,619
Gen.27,619,622,665,594
Gen.28,594,619,686,601
Gen.29,601,594,633,672
Gen.30,672,601,577,650
Gen.31,650,672,578,600
Gen.32,600,650,646,604
Gen.33,604,600,656,640
Gen.34,640,604,604,652
Gen.35,652,640,613,595
Gen.36,595,652,626,627
Gen.37,627,595,627,651
Gen.38,651,627,631,591
Gen.39,591,651,635,623
Gen.40,623,591,648,638
Gen.41,638,623,629,610
Gen.42,610,638,649,603
Gen.43,603,610,660,627
Gen.44,627,603,634,636
Gen.45,636,627,613,624
Gen.46,624,636,591,649
Gen.47,649,624,640,587
Gen.48,587,649,654,610
Gen.49,610,587,621,682
Gen.50,682,610,596,612
Gen.51,612,682,578,628
Gen.52,628,612,623,637
Gen.53,637,628,638,597
Gen.54,597,637,604,662
Gen.55,662,597,629,612
Gen.56,612,662,621,605
Gen.57,605,612,608,675
Gen.58,675,605,607,613
Gen.59,613,675,577,635
Gen.60,635,613,646,606
Gen.61,606,635,670,589
Gen.62,589,606,651,654
Gen.63,654,589,656,601
Gen.64,601,654,611,634
