Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2467,24,5,4
Gen.2,2433,38,13,16
Gen.3,2392,57,26,25
Gen.4,2340,77,39,44
Gen.5,2275,109,54,62
Gen.6,2205,132,62,101
Gen.7,2141,165,76,118
Gen.8,2042,217,105,136
Gen.9,1902,276,159,163
Gen.10,1751,314,206,229
Gen.11,1640,340,229,291
Gen.12,1488,443,276,293
Gen.13,1282,499,328,391
Gen.14,1157,516,365,462
Gen.15,1000,619,413,468
Gen.16,804,664,472,560
Gen.17,756,608,525,611
Gen.18,702,665,522,611
Gen.19,635,678,508,679
Gen.20,687,627,535,651
Gen.21,654,684,532,630
Gen.22,633,651,525,691
Gen.23,692,632,510,666
Gen.24,666,692,498,644
Gen.25,644,666,525,665
Gen.26,665,644,557,634
Gen.27,634,665,543,658
Gen.28,658,634,518,690
Gen.29,690,658,502,650
Gen.30,650,690,495,665
Gen.31,665,650,538,647
Gen.32,647,665,532,656
Gen.33,656,647,512,685
Gen.34,685,656,506,653
Gen.35,653,685,514,648
Gen.36,648,653,523,676
Gen.37,676,648,500,676
Gen.38,676,676,517,631
Gen.39,631,676,545,648
Gen.40,648,631,550,671
Gen.41,671,648,528,653
Gen.42,653,671,506,670
Gen.43,670,653,517,660
Gen.44,660,670,533,637
Gen.45,637,660,532,671
Gen.46,671,637,537,655
Gen.47,655,671,514,660
Gen.48,660,655,520,665
Gen.49,665,660,549,626
Gen.50,626,665,529,680
Gen.51,680,626,516,678
Gen.52,678,680,528,614
Gen.53,614,678,512,696
Gen.54,696,614,518,672
Gen.55,672,696,512,620
Gen.56,620,672,513,695
Gen.57,695,620,555,630
Gen.58,630,695,538,637
Gen.59,637,630,532,701
Gen.60,701,637,531,631
Gen.61,631,701,522,646
Gen.62,646,631,542,681
Gen.63,681,646,536,637
Gen.64,637,681,522,660
