Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2483,8,3,6
Gen.2,2476,13,5,6
Gen.3,2463,19,8,10
Gen.4,2449,24,13,14
Gen.5,2431,32,18,19
Gen.6,2408,42,25,25
Gen.7,2389,44,32,35
Gen.8,2356,68,44,32
Gen.9,2311,77,59,53
Gen.10,2274,90,77,59
Gen.11,2224,109,86,81
Gen.12,2176,129,99,96
Gen.13,2136,136,111,117
Gen.14,2093,160,128,119
Gen.15,2032,180,152,136
Gen.16,1978,190,162,170
Gen.17,1917,231,180,172
Gen.18,1806,283,217,194
Gen.19,1719,281,264,236
Gen.20,1653,302,281,264
Gen.21,1565,352,295,288
Gen.22,1464,389,348,299
Gen.23,1332,431,397,340
Gen.24,1226,446,423,405
Gen.25,1131,500,439,430
Gen.26,1014,547,465,474
Gen.27,939,549,506,506
Gen.28,870,575,543,512
Gen.29,799,583,591,527
Gen.30,741,585,605,569
Gen.31,716,594,583,607
Gen.32,699,624,575,602
Gen.33,661,640,596,603
Gen.34,639,625,637,599
Gen.35,611,627,650,612
Gen.36,613,610,652,625
Gen.37,625,613,632,630
Gen.38,630,625,613,632
Gen.39,632,630,623,615
Gen.40,615,632,629,624
Gen.41,624,615,629,632
Gen.42,632,624,604,640
Gen.43,640,632,588,640
Gen.44,640,640,630,590
Gen.45,590,640,648,622
Gen.46,622,590,632,656
Gen.47,656,622,630,592
Gen.48,592,656,607,645
Gen.49,645,592,624,639
Gen.50,639,645,623,593
Gen.51,593,639,642,626
Gen.52,626,593,650,631
Gen.53,631,626,587,656
Gen.54,656,631,603,610
Gen.55,610,656,644,590
Gen.56,590,610,635,665
Gen.57,665,590,604,641
Gen.58,641,665,579,615
Gen.59,615,641,611,633
Gen.60,633,615,644,608
Gen.61,608,633,644,615
Gen.62,615,608,636,641
Gen.63,641,615,618,626
Gen.64,626,641,642,591
