Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2475,16,9,0
Gen.2,2451,24,24,1
Gen.3,2420,32,40,8
Gen.4,2387,41,56,16
Gen.5,2347,56,73,24
Gen.6,2299,72,97,32
Gen.7,2243,88,128,41
Gen.8,2180,104,160,56
Gen.9,2115,121,192,72
Gen.10,2043,144,225,88
Gen.11,1963,168,265,104
Gen.12,1875,192,312,121
Gen.13,1780,216,360,144
Gen.14,1683,241,408,168
Gen.15,1579,272,457,192
Gen.16,1467,304,513,216
Gen.17,1347,336,576,241
Gen.18,1220,368,640,272
Gen.19,1091,401,704,304
Gen.20,955,440,769,336
Gen.21,811,480,841,368
Gen.22,659,520,920,401
Gen.23,500,560,1000,440
Gen.24,440,500,1080,480
Gen.25,480,440,1060,520
Gen.26,520,480,940,560
Gen.27,560,520,920,500
Gen.28,500,560,1000,440
Gen.29,440,500,1080,480
Gen.30,480,440,1060,520
Gen.31,520,480,940,560
Gen.32,560,520,920,500
Gen.33,500,560,1000,440
Gen.34,440,500,1080,480
Gen.35,480,440,1060,520
Gen.36,520,480,940,560
Gen.37,560,520,920,500
Gen.38,500,560,1000,440
Gen.39,440,500,1080,480
Gen.40,480,440,1060,520
Gen.41,520,480,940,560
Gen.42,560,520,920,500
Gen.43,500,560,1000,440
Gen.44,440,500,1080,480
Gen.45,480,440,1060,520
Gen.46,520,480,940,560
Gen.47,560,520,920,500
Gen.48,500,560,1000,440
Gen.49,440,500,1080,480
Gen.50,480,440,1060,520
Gen.51,520,480,940,560
Gen.52,560,520,920,500
Gen.53,500,560,1000,440
Gen.54,440,500,1080,480
Gen.55,480,440,1060,520
Gen.56,520,480,940,560
Gen.57,560,520,920,500
Gen.58,500,560,1000,440
Gen.59,440,500,1080,480
Gen.60,480,440,1060,520
Gen.61,520,480,940,560
Gen.62,560,520,920,500
Gen.63,500,560,1000,440
Gen.64,440,500,1080,480
