Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2482,9,4,5
Gen.2,2483,4,4,9
Gen.3,2483,9,2,6
Gen.4,2472,17,3,8
Gen.5,2464,16,6,14
Gen.6,2461,17,8,14
Gen.7,2456,19,6,19
Gen.8,2451,24,5,20
Gen.9,2449,22,8,21
Gen.10,2431,39,15,15
Gen.11,2406,40,19,35
Gen.12,2417,24,16,43
Gen.13,2417,43,13,27
Gen.14,2396,48,14,42
Gen.15,2392,46,21,41
Gen.16,2384,49,20,47
Gen.17,2375,56,18,51
Gen.18,2357,69,21,53
Gen.19,2332,78,31,59
Gen.20,2319,72,33,76
Gen.21,2322,73,25,80
Gen.22,2320,82,22,76
Gen.23,2300,96,27,77
Gen.24,2288,89,32,91
Gen.25,2280,99,33,88
Gen.26,2264,104,38,94
Gen.27,2260,98,40,102
Gen.28,2244,118,43,95
Gen.29,2209,130,46,115
Gen.30,2201,123,49,127
Gen.31,2185,143,51,121
Gen.32,2158,148,57,137
Gen.33,2148,147,61,144
Gen.34,2128,164,61,147
Gen.35,2097,178,63,162
Gen.36,2082,177,68,173
Gen.37,2066,189,71,174
Gen.38,2034,206,77,183
Gen.39,2001,216,81,202
Gen.40,1988,215,76,221
Gen.41,1984,225,68,223
Gen.42,1963,244,75,218
Gen.43,1914,267,91,228
Gen.44,1891,251,103,255
Gen.45,1886,260,96,258
Gen.46,1857,287,83,273
Gen.47,1846,284,95,275
Gen.48,1826,295,106,273
Gen.49,1786,313,114,287
Gen.50,1765,308,121,306
Gen.51,1749,322,120,309
Gen.52,1705,353,122,320
Gen.53,1669,356,125,350
Gen.54,1647,372,129,352
Gen.55,1609,390,144,357
Gen.56,1567,399,149,385
Gen.57,1566,386,129,419
Gen.58,1562,423,141,374
Gen.59,1489,447,161,403
Gen.60,1484,408,157,451
Gen.61,1510,425,146,419
Gen.62,1437,492,152,419
Gen.63,1387,469,184,460
Gen.64,1373,474,195,458
