Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2475,16,9,0
Gen.2,2451,24,24,1
Gen.3,2420,32,39,9
Gen.4,2388,41,54,17
Gen.5,2348,57,70,25
Gen.6,2300,73,93,34
Gen.7,2245,89,122,44
Gen.8,2183,106,153,58
Gen.9,2117,124,181,78
Gen.10,2049,146,212,93
Gen.11,1969,173,254,104
Gen.12,1877,196,298,129
Gen.13,1792,214,335,159
Gen.14,1708,243,360,189
Gen.15,1615,282,404,199
Gen.16,1490,324,472,214
Gen.17,1361,343,545,251
Gen.18,1246,366,605,283
Gen.19,1119,410,645,326
Gen.20,996,449,704,351
Gen.21,845,502,782,371
Gen.22,682,534,853,431
Gen.23,553,560,918,469
Gen.24,480,542,973,505
Gen.25,505,480,992,523
Gen.26,523,505,929,543
Gen.27,543,523,895,539
Gen.28,539,543,928,490
Gen.29,490,539,952,519
Gen.30,519,490,967,524
Gen.31,524,519,934,523
Gen.32,523,524,933,520
Gen.33,520,523,955,502
Gen.34,502,520,950,528
Gen.35,528,502,935,535
Gen.36,535,528,902,535
Gen.37,535,535,911,519
Gen.38,519,535,968,478
Gen.39,478,519,980,523
Gen.40,523,478,948,551
Gen.41,551,523,902,524
Gen.42,524,551,904,521
Gen.43,521,524,981,474
Gen.44,474,521,991,514
Gen.45,514,474,948,564
Gen.46,564,514,898,524
Gen.47,524,564,893,519
Gen.48,519,524,968,489
Gen.49,489,519,962,530
Gen.50,530,489,931,550
Gen.51,550,530,913,507
Gen.52,507,550,908,535
Gen.53,535,507,955,503
Gen.54,503,535,945,517
Gen.55,517,503,932,548
Gen.56,548,517,922,513
Gen.57,513,548,917,522
Gen.58,522,513,975,490
Gen.59,490,522,964,524
Gen.60,524,490,930,556
Gen.61,556,524,920,500
Gen.62,500,556,922,522
Gen.63,522,500,969,509
Gen.64,509,522,947,522
