Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2473,18,4,5
Gen.2,2447,31,10,12
Gen.3,2418,41,14,27
Gen.4,2400,45,17,38
Gen.5,2375,63,21,41
Gen.6,2338,78,24,60
Gen.7,2314,84,29,73
Gen.8,2264,123,44,69
Gen.9,2179,154,67,100
Gen.10,2123,156,81,140
Gen.11,2056,207,89,148
Gen.12,1973,231,103,193
Gen.13,1918,248,129,205
Gen.14,1803,320,151,226
Gen.15,1670,359,178,293
Gen.16,1572,391,205,332
Gen.17,1444,460,228,368
Gen.18,1303,509,264,424
Gen.19,1181,546,313,460
Gen.20,1033,608,330,529
Gen.21,966,596,343,595
Gen.22,901,660,389,550
Gen.23,738,713,408,641
Gen.24,741,638,408,713
Gen.25,760,694,396,650
Gen.26,677,733,392,698
Gen.27,708,667,415,710
Gen.28,713,705,404,678
Gen.29,678,713,409,700
Gen.30,700,678,428,694
Gen.31,694,700,402,704
Gen.32,704,694,400,702
Gen.33,702,704,405,689
Gen.34,689,702,424,685
Gen.35,685,689,422,704
Gen.36,704,685,409,702
Gen.37,702,704,414,680
Gen.38,680,702,426,692
Gen.39,692,680,410,718
Gen.40,718,692,403,687
Gen.41,687,718,411,684
Gen.42,684,687,403,726
Gen.43,726,684,397,693
Gen.44,693,726,394,687
Gen.45,687,693,448,672
Gen.46,672,687,427,714
Gen.47,714,672,381,733
Gen.48,733,714,391,662
Gen.49,662,733,415,690
Gen.50,690,662,450,698
Gen.51,698,690,431,681
Gen.52,681,698,399,722
Gen.53,722,681,403,694
Gen.54,694,722,417,667
Gen.55,667,694,428,711
Gen.56,711,667,410,712
Gen.57,712,711,386,691
Gen.58,691,712,416,681
Gen.59,681,691,438,690
Gen.60,690,681,442,687
Gen.61,687,690,409,714
Gen.62,714,687,389,710
Gen.63,710,714,425,651
Gen.64,651,710,438,701
