p,config,I_max,estabilidade_std
0.0,L_grid_10,74,26.59717134977935
0.0,L_grid_100,4146,1264.717436522959
0.0,L_grid_50,1071,295.47424803187164
0.0,moore_grid_10,56,17.458795027421676
0.0,moore_grid_100,4160,1535.7494115944428
0.0,moore_grid_50,1080,365.77346591214706
0.1,L_grid_10,63,19.859026974677093
0.1,L_grid_100,3911,1190.6785568972336
0.1,L_grid_50,983,275.64713019477523
0.1,moore_grid_10,52,15.55114449929957
0.1,moore_grid_100,3858,1440.2787853339025
0.1,moore_grid_50,1008,340.86320922599754
0.2,L_grid_10,61,16.820339161973205
0.2,L_grid_100,3605,1111.5640852404015
0.2,L_grid_50,920,260.66925237667635
0.2,moore_grid_10,49,15.558491786373983
0.2,moore_grid_100,3607,1344.5611673307808
0.2,moore_grid_50,953,319.6351909418948
0.3,L_grid_10,55,14.783517205062568
0.3,L_grid_100,3308,1030.832941303972
0.3,L_grid_50,880,243.11449008329706
0.3,moore_grid_10,42,12.65964717781134
0.3,moore_grid_100,3275,1231.250313514183
0.3,moore_grid_50,823,291.32898648329626
0.4,L_grid_10,38,11.134673429470322
0.4,L_grid_100,2943,943.2211401270926
0.4,L_grid_50,776,226.29249813358476
0.4,moore_grid_10,39,11.405929953109396
0.4,moore_grid_100,2963,1113.4297882344324
0.4,moore_grid_50,747,267.9228038934981
0.5,L_grid_10,39,10.395511852076678
0.5,L_grid_100,2647,847.6651545639262
0.5,L_grid_50,686,201.83037194253382
0.5,moore_grid_10,39,11.205015883629123
0.5,moore_grid_100,2583,1003.0122217671022
0.5,moore_grid_50,671,247.49843628099646
0.6,L_grid_10,29,9.254085326929683
0.6,L_grid_100,2227,741.5444525758081
0.6,L_grid_50,557,177.01835112387468
0.6,moore_grid_10,28,8.86781231409953
0.6,moore_grid_100,2160,828.5791528335874
0.6,moore_grid_50,572,215.95436995774398
0.7,L_grid_10,23,6.166731016395269
0.7,L_grid_100,1729,622.4983613163447
0.7,L_grid_50,450,154.3869825620521
0.7,moore_grid_10,23,7.443757371752777
0.7,moore_grid_100,1677,576.7018052195197
0.7,moore_grid_50,463,156.8007861538377
0.8,L_grid_10,18,4.992375138529708
0.8,L_grid_100,1251,470.96024996547175
0.8,L_grid_50,321,113.0407240266159
0.8,moore_grid_10,14,3.8072612328599273
0.8,moore_grid_100,654,199.2941089651762
0.8,moore_grid_50,195,53.16669178522033
0.9,L_grid_10,13,3.394673699166022
0.9,L_grid_100,396,122.03643066180646
0.9,L_grid_50,96,31.229978201425926
0.9,moore_grid_10,4,1.1254628677422753
0.9,moore_grid_100,67,18.509968461445393
0.9,moore_grid_50,34,7.388270329484327
1.0,L_grid_10,1,0.35186577527449836
1.0,L_grid_100,1,0.1342200153122676
1.0,L_grid_50,1,0.1740358053345964
1.0,moore_grid_10,1,0.35186577527449836
1.0,moore_grid_100,1,0.1342200153122676
1.0,moore_grid_50,1,0.1740358053345964
