p,config,I_max,stability_std
0.0,L_grid_10,74,26.59717134977935
0.0,L_grid_100,4146,1264.717436522959
0.0,L_grid_50,1071,295.47424803187164
0.0,moore_grid_10,56,17.458795027421676
0.0,moore_grid_100,4160,1535.7494115944428
0.0,moore_grid_50,1080,365.77346591214706
0.1,L_grid_10,63,19.859026974677093
0.1,L_grid_100,3911,1190.6785568972336
0.1,L_grid_50,983,275.64713019477523
0.1,moore_grid_10,53,15.325981674454473
0.1,moore_grid_100,3926,1440.248254507596
0.1,moore_grid_50,992,340.5310142037218
0.2,L_grid_10,61,16.820339161973205
0.2,L_grid_100,3605,1111.5640852404015
0.2,L_grid_50,920,260.66925237667635
0.2,moore_grid_10,45,12.351209695911608
0.2,moore_grid_100,3601,1343.7299295318237
0.2,moore_grid_50,941,319.156695298479
0.3,L_grid_10,55,14.783517205062568
0.3,L_grid_100,3308,1030.832941303972
0.3,L_grid_50,880,243.11449008329706
0.3,moore_grid_10,44,12.205385228309206
0.3,moore_grid_100,3271,1231.3316984236833
0.3,moore_grid_50,840,297.71003251744554
0.4,L_grid_10,38,11.134673429470322
0.4,L_grid_100,2943,943.2211401270926
0.4,L_grid_50,776,226.29249813358476
0.4,moore_grid_10,38,9.868178777310044
0.4,moore_grid_100,2949,1109.0207862510729
0.4,moore_grid_50,767,276.26569569055187
0.5,L_grid_10,39,10.395511852076678
0.5,L_grid_100,2647,847.6651545639262
0.5,L_grid_50,686,201.83037194253382
0.5,moore_grid_10,32,9.715966241192895
0.5,moore_grid_100,2629,988.8492485950724
0.5,moore_grid_50,652,246.85541743171166
0.6,L_grid_10,29,9.254085326929683
0.6,L_grid_100,2227,741.5444525758081
0.6,L_grid_50,557,177.01835112387468
0.6,moore_grid_10,25,8.99576619993036
0.6,moore_grid_100,2172,835.5757659944815
0.6,moore_grid_50,555,206.0373052479724
0.7,L_grid_10,23,6.166731016395269
0.7,L_grid_100,1729,622.4983613163447
0.7,L_grid_50,450,154.3869825620521
0.7,moore_grid_10,20,6.4990841845674865
0.7,moore_grid_100,1667,591.1960972084154
0.7,moore_grid_50,463,158.44930941422925
0.8,L_grid_10,18,4.992375138529708
0.8,L_grid_100,1251,470.96024996547175
0.8,L_grid_50,321,113.0407240266159
0.8,moore_grid_10,14,3.0581662728473336
0.8,moore_grid_100,450,136.0967205622157
0.8,moore_grid_50,176,51.652951550188824
0.9,L_grid_10,13,3.394673699166022
0.9,L_grid_100,396,122.03643066180646
0.9,L_grid_50,96,31.229978201425926
0.9,moore_grid_10,4,1.082325538564332
0.9,moore_grid_100,66,19.339993867691252
0.9,moore_grid_50,32,7.391783380109399
1.0,L_grid_10,1,0.35186577527449836
1.0,L_grid_100,1,0.1342200153122676
1.0,L_grid_50,1,0.1740358053345964
1.0,moore_grid_10,1,0.35186577527449836
1.0,moore_grid_100,1,0.1342200153122676
1.0,moore_grid_50,1,0.1740358053345964
