Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2459,32,9,0
Gen.2,2391,68,40,1
Gen.3,2296,96,100,8
Gen.4,2183,121,164,32
Gen.5,2059,156,217,68
Gen.6,1919,208,277,96
Gen.7,1743,272,364,121
Gen.8,1536,328,480,156
Gen.9,1311,381,600,208
Gen.10,1075,444,709,272
Gen.11,823,524,825,328
Gen.12,621,530,968,381
Gen.13,530,472,1054,444
Gen.14,509,465,1002,524
Gen.15,541,492,937,530
Gen.16,531,540,957,472
Gen.17,472,531,1032,465
Gen.18,465,472,1071,492
Gen.19,492,465,1003,540
Gen.20,540,492,937,531
Gen.21,531,540,957,472
Gen.22,472,531,1032,465
Gen.23,465,472,1071,492
Gen.24,492,465,1003,540
Gen.25,540,492,937,531
Gen.26,531,540,957,472
Gen.27,472,531,1032,465
Gen.28,465,472,1071,492
Gen.29,492,465,1003,540
Gen.30,540,492,937,531
Gen.31,531,540,957,472
Gen.32,472,531,1032,465
Gen.33,465,472,1071,492
Gen.34,492,465,1003,540
Gen.35,540,492,937,531
Gen.36,531,540,957,472
Gen.37,472,531,1032,465
Gen.38,465,472,1071,492
Gen.39,492,465,1003,540
Gen.40,540,492,937,531
Gen.41,531,540,957,472
Gen.42,472,531,1032,465
Gen.43,465,472,1071,492
Gen.44,492,465,1003,540
Gen.45,540,492,937,531
Gen.46,531,540,957,472
Gen.47,472,531,1032,465
Gen.48,465,472,1071,492
Gen.49,492,465,1003,540
Gen.50,540,492,937,531
Gen.51,531,540,957,472
Gen.52,472,531,1032,465
Gen.53,465,472,1071,492
Gen.54,492,465,1003,540
Gen.55,540,492,937,531
Gen.56,531,540,957,472
Gen.57,472,531,1032,465
Gen.58,465,472,1071,492
Gen.59,492,465,1003,540
Gen.60,540,492,937,531
Gen.61,531,540,957,472
Gen.62,472,531,1032,465
Gen.63,465,472,1071,492
Gen.64,492,465,1003,540
