Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2464,27,6,3
Gen.2,2409,58,24,9
Gen.3,2327,91,60,22
Gen.4,2232,117,107,44
Gen.5,2120,156,152,72
Gen.6,1994,198,182,126
Gen.7,1863,257,241,139
Gen.8,1669,333,314,184
Gen.9,1488,365,388,259
Gen.10,1289,458,486,267
Gen.11,998,558,590,354
Gen.12,791,561,726,422
Gen.13,642,571,780,507
Gen.14,604,545,776,575
Gen.15,601,578,760,561
Gen.16,563,599,759,579
Gen.17,579,563,800,558
Gen.18,558,579,784,579
Gen.19,579,558,806,557
Gen.20,557,579,794,570
Gen.21,570,557,792,581
Gen.22,581,570,816,533
Gen.23,533,581,780,606
Gen.24,606,533,792,569
Gen.25,569,606,782,543
Gen.26,543,569,802,586
Gen.27,586,543,836,535
Gen.28,535,586,758,621
Gen.29,621,535,755,589
Gen.30,589,621,769,521
Gen.31,521,589,788,602
Gen.32,602,521,818,559
Gen.33,559,602,746,593
Gen.34,593,559,755,593
Gen.35,593,593,802,512
Gen.36,512,593,840,555
Gen.37,555,512,880,553
Gen.38,553,555,793,599
Gen.39,599,553,740,608
Gen.40,608,599,775,518
Gen.41,518,608,808,566
Gen.42,566,518,867,549
Gen.43,549,566,822,563
Gen.44,563,549,769,619
Gen.45,619,563,796,522
Gen.46,522,619,816,543
Gen.47,543,522,853,582
Gen.48,582,543,793,582
Gen.49,582,582,725,611
Gen.50,611,582,781,526
Gen.51,526,611,821,542
Gen.52,542,526,839,593
Gen.53,593,542,788,577
Gen.54,577,593,753,577
Gen.55,577,577,824,522
Gen.56,522,577,825,576
Gen.57,576,522,801,601
Gen.58,601,576,792,531
Gen.59,531,601,804,564
Gen.60,564,531,839,566
Gen.61,566,564,790,580
Gen.62,580,566,756,598
Gen.63,598,580,794,528
Gen.64,528,598,807,567
