Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2476,15,7,2
Gen.2,2456,22,18,4
Gen.3,2426,34,33,7
Gen.4,2391,42,48,19
Gen.5,2357,53,57,33
Gen.6,2323,67,70,40
Gen.7,2267,96,99,38
Gen.8,2195,110,145,50
Gen.9,2130,115,174,81
Gen.10,2076,135,182,107
Gen.11,2009,174,203,114
Gen.12,1918,205,248,129
Gen.13,1827,220,302,151
Gen.14,1736,242,337,185
Gen.15,1642,279,378,201
Gen.16,1522,321,440,217
Gen.17,1400,339,493,268
Gen.18,1302,366,522,310
Gen.19,1184,428,568,320
Gen.20,1031,473,641,355
Gen.21,892,494,716,398
Gen.22,753,537,773,437
Gen.23,603,587,809,501
Gen.24,536,568,885,511
Gen.25,518,529,924,529
Gen.26,529,518,864,589
Gen.27,589,529,815,567
Gen.28,567,589,827,517
Gen.29,517,567,904,512
Gen.30,512,517,941,530
Gen.31,530,512,884,574
Gen.32,574,530,845,551
Gen.33,551,574,847,528
Gen.34,528,551,885,536
Gen.35,536,528,890,546
Gen.36,546,536,860,558
Gen.37,558,546,855,541
Gen.38,541,558,855,546
Gen.39,546,541,897,516
Gen.40,516,546,899,539
Gen.41,539,516,886,559
Gen.42,559,539,855,547
Gen.43,547,559,841,553
Gen.44,553,547,896,504
Gen.45,504,553,901,542
Gen.46,542,504,883,571
Gen.47,571,542,847,540
Gen.48,540,571,839,550
Gen.49,550,540,888,522
Gen.50,522,550,919,509
Gen.51,509,522,906,563
Gen.52,563,509,872,556
Gen.53,556,563,838,543
Gen.54,543,556,855,546
Gen.55,546,543,894,517
Gen.56,517,546,880,557
Gen.57,557,517,877,549
Gen.58,549,557,839,555
Gen.59,555,549,823,573
Gen.60,573,555,881,491
Gen.61,491,573,904,532
Gen.62,532,491,905,572
Gen.63,572,532,847,549
Gen.64,549,572,822,557
