Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2459,32,9,0
Gen.2,2391,68,35,6
Gen.3,2301,96,89,14
Gen.4,2190,125,150,35
Gen.5,2066,159,195,80
Gen.6,1937,209,247,107
Gen.7,1760,284,330,126
Gen.8,1546,340,441,173
Gen.9,1335,384,557,224
Gen.10,1100,459,659,282
Gen.11,843,539,773,345
Gen.12,645,543,896,416
Gen.13,567,494,962,477
Gen.14,543,501,934,522
Gen.15,539,526,902,533
Gen.16,534,538,925,503
Gen.17,503,534,952,511
Gen.18,511,503,961,525
Gen.19,525,511,929,535
Gen.20,535,525,910,530
Gen.21,530,535,940,495
Gen.22,495,530,965,510
Gen.23,510,495,963,532
Gen.24,532,510,921,537
Gen.25,537,532,912,519
Gen.26,519,537,928,516
Gen.27,516,519,946,519
Gen.28,519,516,950,515
Gen.29,515,519,928,538
Gen.30,538,515,925,522
Gen.31,522,538,917,523
Gen.32,523,522,943,512
Gen.33,512,523,956,509
Gen.34,509,512,921,558
Gen.35,558,509,900,533
Gen.36,533,558,907,502
Gen.37,502,533,957,508
Gen.38,508,502,983,507
Gen.39,507,508,941,544
Gen.40,544,507,917,532
Gen.41,532,544,910,514
Gen.42,514,532,938,516
Gen.43,516,514,959,511
Gen.44,511,516,931,542
Gen.45,542,511,928,519
Gen.46,519,542,917,522
Gen.47,522,519,941,518
Gen.48,518,522,960,500
Gen.49,500,518,941,541
Gen.50,541,500,942,517
Gen.51,517,541,924,518
Gen.52,518,517,952,513
Gen.53,513,518,971,498
Gen.54,498,513,937,552
Gen.55,552,498,918,532
Gen.56,532,552,900,516
Gen.57,516,532,942,510
Gen.58,510,516,980,494
Gen.59,494,510,947,549
Gen.60,549,494,917,540
Gen.61,540,549,890,521
Gen.62,521,540,932,507
Gen.63,507,521,975,497
Gen.64,497,507,949,547
