Generation,S,E,I,R
Gen.0,2495,4,1,0
Gen.1,2487,8,5,0
Gen.2,2475,12,12,1
Gen.3,2460,16,20,4
Gen.4,2443,21,28,8
Gen.5,2423,28,37,12
Gen.6,2399,36,49,16
Gen.7,2371,44,64,21
Gen.8,2340,52,80,28
Gen.9,2307,61,96,36
Gen.10,2271,72,113,44
Gen.11,2231,84,133,52
Gen.12,2187,96,156,61
Gen.13,2140,108,180,72
Gen.14,2091,121,204,84
Gen.15,2039,136,229,96
Gen.16,1983,152,257,108
Gen.17,1923,168,288,121
Gen.18,1860,184,320,136
Gen.19,1795,201,352,152
Gen.20,1727,220,385,168
Gen.21,1655,240,421,184
Gen.22,1579,260,460,201
Gen.23,1500,280,500,220
Gen.24,1421,299,540,240
Gen.25,1345,316,579,260
Gen.26,1273,332,615,280
Gen.27,1205,348,648,299
Gen.28,1140,364,680,316
Gen.29,1077,379,712,332
Gen.30,1017,392,743,348
Gen.31,961,404,771,364
Gen.32,909,416,796,379
Gen.33,860,428,820,392
Gen.34,813,439,844,404
Gen.35,769,448,867,416
Gen.36,729,456,887,428
Gen.37,693,464,904,439
Gen.38,660,472,920,448
Gen.39,629,479,936,456
Gen.40,601,484,951,464
Gen.41,577,488,963,472
Gen.42,557,492,972,479
Gen.43,540,496,980,484
Gen.44,525,499,988,488
Gen.45,513,500,995,492
Gen.46,505,500,999,496
Gen.47,501,500,1000,499
Gen.48,500,500,1000,500
Gen.49,500,500,1000,500
Gen.50,500,500,1000,500
Gen.51,500,500,1000,500
Gen.52,500,500,1000,500
Gen.53,500,500,1000,500
Gen.54,500,500,1000,500
Gen.55,500,500,1000,500
Gen.56,500,500,1000,500
Gen.57,500,500,1000,500
Gen.58,500,500,1000,500
Gen.59,500,500,1000,500
Gen.60,500,500,1000,500
Gen.61,500,500,1000,500
Gen.62,500,500,1000,500
Gen.63,500,500,1000,500
Gen.64,500,500,1000,500
