Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2482,9,4,5
Gen.2,2479,8,5,8
Gen.3,2479,8,3,10
Gen.4,2479,10,2,9
Gen.5,2469,19,5,7
Gen.6,2449,27,11,13
Gen.7,2434,28,13,25
Gen.8,2423,36,14,27
Gen.9,2410,40,16,34
Gen.10,2396,48,20,36
Gen.11,2373,59,28,40
Gen.12,2349,64,33,54
Gen.13,2338,65,35,62
Gen.14,2315,85,42,58
Gen.15,2301,72,45,82
Gen.16,2310,73,39,78
Gen.17,2290,98,39,73
Gen.18,2252,111,45,92
Gen.19,2234,110,60,96
Gen.20,2199,131,68,102
Gen.21,2153,148,83,116
Gen.22,2122,147,90,141
Gen.23,2102,161,83,154
Gen.24,2073,183,95,149
Gen.25,2015,207,102,176
Gen.26,1984,207,108,201
Gen.27,1953,232,116,199
Gen.28,1887,265,141,207
Gen.29,1848,246,155,251
Gen.30,1839,260,152,249
Gen.31,1778,310,164,248
Gen.32,1711,315,178,296
Gen.33,1685,322,184,309
Gen.34,1627,367,181,325
Gen.35,1568,384,199,349
Gen.36,1507,410,244,339
Gen.37,1434,412,262,392
Gen.38,1417,409,241,433
Gen.39,1382,468,260,390
Gen.40,1245,527,286,442
Gen.41,1214,473,295,518
Gen.42,1200,532,311,457
Gen.43,1056,601,319,524
Gen.44,1043,537,339,581
Gen.45,1040,584,343,533
Gen.46,919,654,352,575
Gen.47,898,596,396,610
Gen.48,881,627,387,605
Gen.49,832,654,343,671
Gen.50,863,640,369,628
Gen.51,781,710,404,605
Gen.52,726,660,403,711
Gen.53,803,634,389,674
Gen.54,742,735,396,627
Gen.55,676,693,463,668
Gen.56,704,640,454,702
Gen.57,727,679,385,709
Gen.58,723,713,391,673
Gen.59,680,716,409,695
Gen.60,698,677,401,724
Gen.61,726,696,400,678
Gen.62,678,726,430,666
Gen.63,666,678,435,721
Gen.64,721,666,395,718
