Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2491,0,1,8
Gen.2,2499,0,0,1
Gen.3,2492,8,0,0
Gen.4,2491,1,0,8
Gen.5,2499,0,0,1
Gen.6,2492,8,0,0
Gen.7,2484,8,1,7
Gen.8,2485,6,2,7
Gen.9,2479,13,2,6
Gen.10,2463,22,4,11
Gen.11,2449,25,7,19
Gen.12,2445,23,6,26
Gen.13,2434,37,6,23
Gen.14,2413,44,9,34
Gen.15,2415,32,8,45
Gen.16,2423,37,4,36
Gen.17,2406,53,3,38
Gen.18,2399,45,6,50
Gen.19,2397,52,11,40
Gen.20,2387,50,9,54
Gen.21,2392,49,7,52
Gen.22,2372,72,13,43
Gen.23,2353,62,14,71
Gen.24,2362,62,15,61
Gen.25,2336,87,16,61
Gen.26,2308,89,15,88
Gen.27,2313,83,17,87
Gen.28,2298,102,19,81
Gen.29,2282,97,18,103
Gen.30,2277,108,17,98
Gen.31,2245,130,18,107
Gen.32,2242,110,17,131
Gen.33,2240,133,20,107
Gen.34,2184,163,28,125
Gen.35,2178,131,28,163
Gen.36,2183,158,31,128
Gen.37,2115,196,38,151
Gen.38,2123,143,35,199
Gen.39,2148,174,29,149
Gen.40,2072,225,35,168
Gen.41,2020,220,55,205
Gen.42,2015,210,59,216
Gen.43,1985,246,47,222
Gen.44,1920,287,46,247
Gen.45,1900,267,47,286
Gen.46,1905,281,44,270
Gen.47,1863,312,51,274
Gen.48,1823,314,63,300
Gen.49,1810,313,64,313
Gen.50,1782,341,67,310
Gen.51,1741,351,68,340
Gen.52,1752,329,49,370
Gen.53,1744,378,50,328
Gen.54,1654,418,72,356
Gen.55,1636,374,81,409
Gen.56,1652,393,82,373
Gen.57,1573,452,94,381
Gen.58,1548,406,96,450
Gen.59,1586,412,78,424
Gen.60,1517,493,87,403
Gen.61,1459,461,96,484
Gen.62,1499,444,90,467
Gen.63,1445,521,91,443
Gen.64,1369,519,95,517
