Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2485,6,3,6
Gen.2,2480,11,5,4
Gen.3,2465,19,7,9
Gen.4,2443,31,16,10
Gen.5,2415,38,28,19
Gen.6,2388,46,40,26
Gen.7,2357,57,46,40
Gen.8,2323,74,59,44
Gen.9,2262,105,89,44
Gen.10,2201,105,108,86
Gen.11,2171,116,113,100
Gen.12,2101,170,140,89
Gen.13,2000,190,187,123
Gen.14,1937,186,214,163
Gen.15,1880,220,211,189
Gen.16,1796,273,245,186
Gen.17,1687,295,302,216
Gen.18,1592,311,323,274
Gen.19,1519,347,369,265
Gen.20,1365,419,425,291
Gen.21,1249,407,451,393
Gen.22,1204,438,465,393
Gen.23,1037,560,516,387
Gen.24,866,558,612,464
Gen.25,781,549,673,497
Gen.26,691,587,687,535
Gen.27,654,572,712,562
Gen.28,635,581,708,576
Gen.29,615,596,675,614
Gen.30,631,598,686,585
Gen.31,589,627,722,562
Gen.32,562,589,754,595
Gen.33,595,562,735,608
Gen.34,608,595,696,601
Gen.35,601,608,693,598
Gen.36,598,601,721,580
Gen.37,580,598,751,571
Gen.38,571,580,731,618
Gen.39,618,571,696,615
Gen.40,615,618,687,580
Gen.41,580,615,729,576
Gen.42,576,580,767,577
Gen.43,577,576,719,628
Gen.44,628,577,697,598
Gen.45,598,628,711,563
Gen.46,563,598,723,616
Gen.47,616,563,713,608
Gen.48,608,616,690,586
Gen.49,586,608,721,585
Gen.50,585,586,718,611
Gen.51,611,585,693,611
Gen.52,611,611,699,579
Gen.53,579,611,731,579
Gen.54,579,579,748,594
Gen.55,594,579,719,608
Gen.56,608,594,695,603
Gen.57,603,608,698,591
Gen.58,591,603,724,582
Gen.59,582,591,721,606
Gen.60,606,582,694,618
Gen.61,618,606,689,587
Gen.62,587,618,704,591
Gen.63,591,587,715,607
Gen.64,607,591,708,594
