Generation,S,E,I,R
Gen.0,2491,8,1,0
Gen.1,2462,29,7,2
Gen.2,2403,61,30,6
Gen.3,2321,88,74,17
Gen.4,2220,118,122,40
Gen.5,2102,158,171,69
Gen.6,1965,206,228,101
Gen.7,1802,264,298,136
Gen.8,1619,319,386,176
Gen.9,1419,376,476,229
Gen.10,1199,449,558,294
Gen.11,962,531,662,345
Gen.12,728,579,775,418
Gen.13,608,538,885,469
Gen.14,553,524,908,515
Gen.15,540,528,857,575
Gen.16,579,536,845,540
Gen.17,540,579,870,511
Gen.18,511,540,914,535
Gen.19,535,511,894,560
Gen.20,560,535,837,568
Gen.21,568,560,854,518
Gen.22,518,568,896,518
Gen.23,518,518,901,563
Gen.24,563,518,849,570
Gen.25,570,563,823,544
Gen.26,544,570,859,527
Gen.27,527,544,908,521
Gen.28,521,527,895,557
Gen.29,557,521,833,589
Gen.30,589,557,837,517
Gen.31,517,589,871,523
Gen.32,523,517,919,541
Gen.33,541,523,883,553
Gen.34,553,541,826,580
Gen.35,580,553,847,520
Gen.36,520,580,884,516
Gen.37,516,520,912,552
Gen.38,552,516,881,551
Gen.39,551,552,840,557
Gen.40,557,551,861,531
Gen.41,531,557,872,540
Gen.42,540,531,853,576
Gen.43,576,540,855,529
Gen.44,529,576,872,523
Gen.45,523,529,906,542
Gen.46,542,523,884,551
Gen.47,551,542,820,587
Gen.48,587,551,845,517
Gen.49,517,587,893,503
Gen.50,503,517,920,560
Gen.51,560,503,886,551
Gen.52,551,560,813,576
Gen.53,576,551,860,513
Gen.54,513,576,897,514
Gen.55,514,513,904,569
Gen.56,569,514,874,543
Gen.57,543,569,805,583
Gen.58,583,543,853,521
Gen.59,521,583,890,506
Gen.60,506,521,917,556
Gen.61,556,506,896,542
Gen.62,542,556,814,588
Gen.63,588,542,858,512
Gen.64,512,588,886,514
